# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3346 1 198 2082 1457040 7 24x24/status/nm-nm-signal-25.png
DUPTYPE_WITHIN_SAME_TREE -3346 2 198 2082 1457927 7 24x24/status/symbolic/network-wireless-signal-weak-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -3346 1 198 2082 1457034 7 24x24/status/network-wireless-signal-weak.png
DUPTYPE_WITHIN_SAME_TREE -3346 1 198 2082 1457047 7 24x24/status/network-wireless-connected-25.png
DUPTYPE_FIRST_OCCURRENCE 797 1 220 2082 1454362 5 16x16/actions/edit-clear.png
DUPTYPE_WITHIN_SAME_TREE -797 2 220 2082 1457564 5 16x16/actions/symbolic/edit-clear-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1 1 238 2082 1455205 3 11x11/actions/edit-link.png
DUPTYPE_WITHIN_SAME_TREE -1 1 238 2082 1455206 3 11x11/actions/link.png
DUPTYPE_WITHIN_SAME_TREE -1 1 238 2082 1455203 3 11x11/emblems/emblem-symbolic-link.png
DUPTYPE_WITHIN_SAME_TREE -1 1 238 2082 1455204 3 11x11/mimetypes/inode-symlink.png
DUPTYPE_FIRST_OCCURRENCE 1439 1 243 2082 1453476 5 16x16/apps/office-calendar.png
DUPTYPE_WITHIN_SAME_TREE -1439 1 243 2082 1453562 5 16x16/apps/plan.png
DUPTYPE_WITHIN_SAME_TREE -1439 1 243 2082 1453376 5 16x16/preferences/financial-schedule.png
DUPTYPE_FIRST_OCCURRENCE 1209 1 253 2082 1454440 5 16x16/actions/view-sort-descending.png
DUPTYPE_WITHIN_SAME_TREE -1209 2 253 2082 1457620 5 16x16/actions/symbolic/view-sort-descending-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 3348 1 257 2082 1457016 7 24x24/status/network-wireless-40.png
DUPTYPE_WITHIN_SAME_TREE -3348 1 257 2082 1457041 7 24x24/status/network-wireless-signal-ok.png
DUPTYPE_WITHIN_SAME_TREE -3348 1 257 2082 1457013 7 24x24/status/network-wireless-60.png
DUPTYPE_WITHIN_SAME_TREE -3348 1 257 2082 1457030 7 24x24/status/network-wireless-connected-50.png
DUPTYPE_WITHIN_SAME_TREE -3348 1 257 2082 1457028 7 24x24/status/nm-nm-signal-50.png
DUPTYPE_WITHIN_SAME_TREE -3348 2 257 2082 1457924 7 24x24/status/symbolic/network-wireless-signal-ok-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1091 1 281 2082 1454394 5 16x16/actions/sort_incr.png
DUPTYPE_WITHIN_SAME_TREE -1091 2 281 2082 1457642 5 16x16/actions/symbolic/view-sort-ascending-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -1091 1 281 2082 1454359 5 16x16/actions/view-sort.png
DUPTYPE_WITHIN_SAME_TREE -1091 1 281 2082 1454376 5 16x16/actions/view-sort-ascending.png
DUPTYPE_WITHIN_SAME_TREE -1091 1 281 2082 1454342 5 16x16/actions/view-sort-ascending-name.png
DUPTYPE_FIRST_OCCURRENCE 1048 1 293 2082 1454463 5 16x16/actions/pan-start.png
DUPTYPE_WITHIN_SAME_TREE -1048 2 293 2082 1457621 5 16x16/actions/symbolic/pan-start-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1110 1 295 2082 1454057 5 16x16/actions/tab-new.png
DUPTYPE_WITHIN_SAME_TREE -1110 2 295 2082 1457558 5 16x16/actions/symbolic/tab-new-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 736 1 301 2082 1454412 5 16x16/actions/collapse.png
DUPTYPE_WITHIN_SAME_TREE -736 1 301 2082 1454253 5 16x16/actions/pan-up.png
DUPTYPE_WITHIN_SAME_TREE -736 2 301 2082 1457626 5 16x16/actions/symbolic/pan-up-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 706 1 306 2082 1454348 5 16x16/actions/arrow-down.png
DUPTYPE_WITHIN_SAME_TREE -706 2 306 2082 1457609 5 16x16/actions/symbolic/pan-down-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -706 1 306 2082 1453972 5 16x16/actions/expand.png
DUPTYPE_WITHIN_SAME_TREE -706 1 306 2082 1454044 5 16x16/actions/pan-down.png
DUPTYPE_FIRST_OCCURRENCE 863 1 309 2082 1454256 5 16x16/actions/format-number-percent.png
DUPTYPE_WITHIN_SAME_TREE -863 1 309 2082 1454416 5 16x16/actions/percent.png
DUPTYPE_FIRST_OCCURRENCE 1047 1 310 2082 1454465 5 16x16/actions/pan-end.png
DUPTYPE_WITHIN_SAME_TREE -1047 2 310 2082 1457615 5 16x16/actions/symbolic/pan-end-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 767 1 310 2082 1454035 5 16x16/actions/dissociatecell.png
DUPTYPE_WITHIN_SAME_TREE -767 1 310 2082 1454390 5 16x16/actions/edit-table-cell-split.png
DUPTYPE_FIRST_OCCURRENCE 991 1 311 2082 1453940 5 16x16/actions/media-playback-stop.png
DUPTYPE_WITHIN_SAME_TREE -991 1 311 2082 1454328 5 16x16/status/media-playback-stopped.png
DUPTYPE_WITHIN_SAME_TREE -991 2 311 2082 1457585 5 16x16/actions/symbolic/media-playback-stop-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 950 1 314 2082 1454156 5 16x16/actions/kt-pause.png
DUPTYPE_WITHIN_SAME_TREE -950 1 314 2082 1454453 5 16x16/actions/media-playback-pause.png
DUPTYPE_WITHIN_SAME_TREE -950 2 314 2082 1457606 5 16x16/actions/symbolic/media-playback-pause-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -950 1 314 2082 1454315 5 16x16/status/media-playback-paused.png
DUPTYPE_FIRST_OCCURRENCE 795 1 322 2082 1454292 5 16x16/actions/draw-text.png
DUPTYPE_WITHIN_SAME_TREE -795 1 322 2082 1454268 5 16x16/actions/tool_text.png
DUPTYPE_WITHIN_SAME_TREE -795 1 322 2082 1454174 5 16x16/actions/tool-text.png
DUPTYPE_WITHIN_SAME_TREE -795 1 322 2082 1454001 5 16x16/actions/edit-select-text.png
DUPTYPE_FIRST_OCCURRENCE 1200 1 323 2082 1454109 5 16x16/actions/view-refresh.png
DUPTYPE_WITHIN_SAME_TREE -1200 2 323 2082 1457630 5 16x16/actions/symbolic/view-refresh-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 988 1 328 2082 1453998 5 16x16/actions/media-eject.png
DUPTYPE_WITHIN_SAME_TREE -988 2 328 2082 1457614 5 16x16/actions/symbolic/media-eject-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 776 1 328 2082 1454262 5 16x16/actions/document-multiple.png
DUPTYPE_WITHIN_SAME_TREE -776 1 328 2082 1453262 5 16x16/emblems/emblem-documents.png
DUPTYPE_WITHIN_SAME_TREE -776 2 328 2082 1457451 5 16x16/emblems/symbolic/emblem-documents-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -776 1 328 2082 1453885 5 16x16/places/document-multiple.png
DUPTYPE_FIRST_OCCURRENCE 2252 1 336 2082 1456750 6 22x22/actions/format-number-percent.png
DUPTYPE_WITHIN_SAME_TREE -2252 1 336 2082 1456920 6 22x22/actions/percent.png
DUPTYPE_FIRST_OCCURRENCE 1744 1 340 2082 1453879 5 16x16/places/network-server.png
DUPTYPE_WITHIN_SAME_TREE -1744 2 340 2082 1457487 5 16x16/places/symbolic/network-server-symbolic.png
